category,source,title,abstract,url
Thời sự,vnexpress.net,Đề xuất làm trục 8-10 làn xe và đường sắt nhẹ ven sông Sài Gòn,"Doanh nghiệp đề xuất làm trục ven sông dài hơn 78 km và tuyến đường sắt đô thị nhẹ (LRT/Tramway) gần 49 km dọc sông Sài Gòn, kết nối Bến xe Miền Tây với khu vực Ba Son.",https://vnexpress.net/de-xuat-lam-truc-8-10-lan-xe-va-duong-sat-nhe-ven-song-sai-gon-5043962.html
Thời sự,vnexpress.net,Đề xuất làm trục 8-10 làn xe và đường sắt nhẹ ven sông Sài Gòn,"Doanh nghiệp đề xuất làm trục ven sông dài hơn 78 km và tuyến đường sắt đô thị nhẹ (LRT/Tramway) gần 49 km dọc sông Sài Gòn, kết nối Bến xe Miền Tây với khu vực Ba Son.",https://vnexpress.net/de-xuat-lam-truc-8-10-lan-xe-va-duong-sat-nhe-ven-song-sai-gon-5043962.html#box_comment_vne
Thời sự,vnexpress.net,"Tổng Bí thư: Xây điểm tựa kinh tế, chấn hưng nền tảng văn hóa","Tổng Bí thư yêu cầu kinh tế nhà nước phải trở thành ""điểm tựa quốc gia"", chiếm lĩnh cao điểm chiến lược của nền kinh tế; đồng thời văn hóa phải soi đường, tạo nội lực tinh thần cho phát triển nhanh và bền vững.",https://vnexpress.net/tong-bi-thu-xay-diem-tua-kinh-te-chan-hung-nen-tang-van-hoa-5043899.html
Thời sự,vnexpress.net,"Tổng Bí thư: Xây điểm tựa kinh tế, chấn hưng nền tảng văn hóa","Tổng Bí thư yêu cầu kinh tế nhà nước phải trở thành ""điểm tựa quốc gia"", chiếm lĩnh cao điểm chiến lược của nền kinh tế; đồng thời văn hóa phải soi đường, tạo nội lực tinh thần cho phát triển nhanh và bền vững.",https://vnexpress.net/tong-bi-thu-xay-diem-tua-kinh-te-chan-hung-nen-tang-van-hoa-5043899.html#box_comment_vne
Thời sự,vnexpress.net,Tàu chìm trên hồ Thác Bà chỉ được phép chở 12 người,"Tàu số hiệu YB-0876H có đăng kiểm còn hạn đến 23/3/2026, được chở tối đa 12 người nhưng thực tế chở 22 trước khi va chạm phà chở đá khiến 6 người tử vong.",https://vnexpress.net/tau-chim-tren-ho-thac-ba-chi-duoc-phep-cho-12-nguoi-5043985.html
Thời sự,vnexpress.net,'Văn hóa là một trong các trụ cột phát triển quốc gia',"Nghị quyết 80 đặt văn hóa ngang tầm chính trị, kinh tế, xã hội, xác định đây là trụ cột và hệ điều tiết của phát triển, đồng thời yêu cầu bố trí tối thiểu 2% tổng chi ngân sách nhà nước cho lĩnh vực này.",https://vnexpress.net/van-hoa-la-mot-trong-cac-tru-cot-phat-trien-quoc-gia-5043805.html#box_comment_vne
Thời sự,vnexpress.net,Hơn 200 tấn dưa hấu bỏ thối vì 'không đạt năng suất cam kết',"Tranh chấp giữa nhà vườn và thương lái về năng suất thực tế khiến hơn 200 tấn dưa hấu tại xã Ia Mơ bị bỏ mặc ngoài đồng, hư hỏng.",https://vnexpress.net/hon-200-tan-dua-hau-bo-thoi-vi-khong-dat-nang-suat-cam-ket-5043821.html
Thời sự,vnexpress.net,'Văn hóa là một trong các trụ cột phát triển quốc gia',"Nghị quyết 80 đặt văn hóa ngang tầm chính trị, kinh tế, xã hội, xác định đây là trụ cột và hệ điều tiết của phát triển, đồng thời yêu cầu bố trí tối thiểu 2% tổng chi ngân sách nhà nước cho lĩnh vực này.",https://vnexpress.net/van-hoa-la-mot-trong-cac-tru-cot-phat-trien-quoc-gia-5043805.html
Thời sự,vnexpress.net,Lễ vía Ngọc hoàng của gia đình người Hoa ở TP HCM,"Theo truyền thống, hàng năm bà Diệp Tú Huê ở phường Chợ Lớn mua mía, làm hột gà đỏ, bánh hình rùa, tháp đường làm lễ vía Ngọc hoàng.",https://vnexpress.net/le-via-ngoc-hoang-cua-gia-dinh-nguoi-hoa-o-tp-hcm-5043728.html
Thời sự,vnexpress.net,Công nghiệp văn hóa phấn đấu đóng góp 7% GDP năm 2030,"Việt Nam đặt mục tiêu công nghiệp văn hóa đóng góp 7% GDP vào 2030, 9% vào 2045, đồng thời chi tối thiểu 2% tổng ngân sách nhà nước cho phát triển văn hóa theo Nghị quyết 80 của Bộ Chính trị. Hội nghị quán triệt Nghị quyết được tổ chức sáng 25/2.",https://vnexpress.net/cong-nghiep-van-hoa-phan-dau-dong-gop-7-gdp-nam-2030-5043737.html
